nombre poder maestro aldea
Stormheart 100 ---- Tesla
Merlin 95 Stormheart Hill_Village
Astrid 92 Stormheart Capital_City
Eldrin 89 Merlin Forest_Village
Luna 85 Eldrin Island_Village
Aurelia 91 Astrid Capital_City
Rohan 87 Aurelia Mountain_Village
Cyrus 84 Stormheart Desert_Village
Elena 80 Cyrus Desert_Village
Galen 88 Astrid Coast_Village
Sylvia 82 Astrid Mountain_Village
Luther 79 Astrid Cliff_Village
Nadia 76 Eldrin Forest_Village
Orion 81 Eldrin Forest_Village
Selene 83 Eldrin Forest_Village
Thalia 86 Eldrin Forest_Village
Nova 90 Cyrus Desert_Village
Kieran 82 Cyrus Desert_Village
Rowan 79 Cyrus Valley_Village
Xander 78 Cyrus Desert_Village
Elysia 93 Aurelia Mountain_Village
Silas 77 Galen Coast_Village
Raine 89 Selene River_Village
Archer 75 Rowan Valley_Village
Seraphina 85 Thalia Hill_Village
Isolde 88 Luther Cliff_Village
Vesper 74 Luna Island_Village
Kai 97 Stormheart Storm_Village
Lucius 90 Raine Coast_Village
Vivian 88 Luther Cliff_Village
Ophelia 82 Merlin Hill_Village
Felix 84 Sylvia Valley_Village
Ideafix 90 Kai Storm_Village
